ValueUL,SetupUL,ChangeUL,Index,EnumText,Name,ShortName,LongName
15,15,15,0,parLCD_BtnMode, Edit Button Mode ,EDIT BUTTON MODE,"Use to change LCD pendant mode (SRT / RUDOL), hold and adjust or press adjust and press. Not applicable to ORBITAL"
0,15,15,1,parTIG_AmpSP, PRIMARY ARC AMPS ,TIG PRIMARY ARC AMPS SET POINT,"TIG primary ARC amps set point, normal operating target ARC amps during weld process "
0,15,15,2,parTIG_AmpInSP, PRIMARY IN ARC AMPS ,TIG PRIMARY ARC AMPS SET POINT IN,"TIG primary ARC amps set point, normal operating target ARC amps during dwell IN "
0,15,15,3,parTIG_AmpOutSP, PRIMARY OUT ARC AMPS ,TIG PRIMARY ARC AMPS SET POINT OUT,"TIG primary ARC amps set point, normal operating target ARC amps during dwell OUT"
0,15,15,4,parTIG_BackAmp, BACKGND ARC AMPS ,TIG BACKGROUND ARC AMPS SET POINT,TIG background ARC amps set point
0,15,15,5,parTIG_PulseFreq, ARC AMPS FREQ. ,AMP PULSE FREQUENCY, Please  Add LongName  
0,15,15,6,parTIG_PulseWidth, ARC PULSE DUTY ,AMP BACKGROUND WIDTH, Please  Add LongName  
0,15,15,7,parAVC_VoltSP, PRIMARY ARC VOLTS ,AVC PRIMARY ARC VOLT SET POINT,"AVC primary ARC volt set point, normal operating target ARC volts during weld process "
0,15,15,8,parAVC_VoltInSP, PRIMARY IN ARC VOLTS ,AVC PRIMARY ARC VOLT SET POINT IN,"AVC primary ARC volt set point, normal operating target ARC volts during dwell IN"
0,15,15,9,parAVC_VoltOutSP, PRIMARY OUT ARC VOLTS ,AVC PRIMARY ARC VOLT SET POINT OUT,"AVC primary ARC volt set point, normal operating target ARC volts during dwell OUT"
0,15,15,10,parAVC_VoltBackSP, BACKGRD ARC VOLTS , Please  Add ShortName , Please  Add LongName  
0,15,15,11,parTVL_VelSP, TVL PRIMARY SPEED , TVL PRIMARY SPEED ,"TVL primary speed set point, target speed at which the weld head will travel during welding operations"
0,15,15,12,parTVL_VelInSP, TVL PRIMARY IN SPEED , TVL PRIMARY IN SPEED ,"TVL primary speed set point, target speed at which the weld head will travel during dwell IN"
0,15,15,13,parTVL_VelOutSP, TVL PRIMARY OUT  SPEED , TVL PRIMARY OUT  SPEED ,"TVL primary speed set point, target speed at which the weld head will travel during dwell OUT"
0,15,15,14,parTVL_VelBackSP, TVL BACKGND SPEED , TVL BACKGND SPEED ,"TVL primary speed set point, target speed at which the weld head will travel during background welding operations"
0,15,15,15,parWF_SpeedSP, WF PRIMARY SPEED ,WF PRIMARY SPEED SET POINT,"WF primary speed set point, normal operating target speed during weld process "
0,15,15,16,parWF_SpeedInSP, WF PRIMARY IN SPEED ,WF PRIMARY IN SPEED SET POINT,"WF primary speed set point, normal operating target speed during dwell IN"
0,15,15,17,parWF_SpeedOutSP, WF PRIMARY OUT  SPEED ,WF PRIMARY OUT SPEED SET POINT,"WF primary speed set point, normal operating target speed during dwell OUT"
0,15,15,18,parWF_BkgSpeedSP, WF BACKGRD SPEED ,WF PBACKGROUND  SPEED SET POINT,"WF primary speed set point, normal operating target speed during background weld process "
0,15,15,19,parWP_SpeedSP, WP PRIMARY SPEED ,WP PRIMARY SPEED SET POINT,"WP primary speed set point, normal operating target speed during weld process "
0,15,15,20,parWP_SpeedInSP, WP PRIMARY IN SPEED ,WP PRIMARY IN SPEED SET POINT,"WP primary speed set point, normal operating target speed during dwell IN"
0,15,15,21,parWP_SpeedOutSP, WP PRIMARY OUT  SPEED ,WP PRIMARY OUT SPEED SET POINT,"WP primary speed set point, normal operating target speed during dwell OUT"
0,15,15,22,parWP_BkgSpeedSP, WP BACKGRD SPEED ,WP PBACKGROUND  SPEED SET POINT,"WP primary speed set point, normal operating target speed during background weld process "
0,15,15,23,parHW_AmpSP, HW PRIMARY AMPS ,HW PRIMARY AMPS SET POINT,"HW primary amps set point, normal operating target amps during weld process "
